time,pos_x,pos_y,vel_x,vel_y
8919.000000,2339581.563483,-5979246.756942,7416.174336,2431.786839
8920.000000,2346994.214741,-5976805.966207,7412.651258,2440.790735
8921.000000,2354403.332474,-5974356.177071,7409.117733,2449.789136
8922.000000,2361808.906244,-5971897.395040,7405.573769,2458.782031
8923.000000,2369210.925620,-5969429.625631,7402.019376,2467.769409
8924.000000,2376609.380183,-5966952.874370,7398.454563,2476.751260
8925.000000,2384004.259523,-5964467.146796,7394.879340,2485.727574
8926.000000,2391395.553237,-5961972.448458,7391.293715,2494.698339
8927.000000,2398783.250935,-5959468.784913,7387.697698,2503.663545
8928.000000,2406167.342234,-5956956.161732,7384.091298,2512.623181
8929.000000,2413547.816760,-5954434.584496,7380.474526,2521.577237
8930.000000,2420924.664148,-5951904.058794,7376.847389,2530.525702
8931.000000,2428297.874046,-5949364.590227,7373.209897,2539.468566
8932.000000,2435667.436106,-5946816.184409,7369.562061,2548.405819
8933.000000,2443033.339994,-5944258.846960,7365.903888,2557.337449
8934.000000,2450395.575383,-5941692.583514,7362.235389,2566.263446
8935.000000,2457754.131955,-5939117.399714,7358.556572,2575.183800
8936.000000,2465108.999403,-5936533.301214,7354.867448,2584.098500
8937.000000,2472460.167428,-5933940.293677,7351.168025,2593.007537
8938.000000,2479807.625742,-5931338.382778,7347.458314,2601.910899
8939.000000,2487151.364064,-5928727.574202,7343.738322,2610.808576
8940.000000,2494491.372125,-5926107.873645,7340.008061,2619.700557
8941.000000,2501827.639664,-5923479.286812,7336.267539,2628.586833
8942.000000,2509160.156429,-5920841.819418,7332.516765,2637.467393
8943.000000,2516488.912178,-5918195.477191,7328.755749,2646.342227
8944.000000,2523813.896678,-5915540.265867,7324.984501,2655.211324
8945.000000,2531135.099708,-5912876.191192,7321.203029,2664.074674
8946.000000,2538452.511052,-5910203.258925,7317.411344,2672.932267
8947.000000,2545766.120507,-5907521.474833,7313.609455,2681.784093
8948.000000,2553075.917878,-5904830.844692,7309.797371,2690.630140
8949.000000,2560381.892980,-5902131.374293,7305.975102,2699.470400
8950.000000,2567684.035637,-5899423.069431,7302.142657,2708.304861
8951.000000,2574982.335682,-5896705.935917,7298.300045,2717.133514
8952.000000,2582276.782958,-5893979.979569,7294.447277,2725.956349
8953.000000,2589567.367319,-5891245.206215,7290.584361,2734.773354
8954.000000,2596854.078626,-5888501.621694,7286.711307,2743.584521
8955.000000,2604136.906750,-5885749.231855,7282.828125,2752.389838
8956.000000,2611415.841574,-5882988.042559,7278.934823,2761.189297
8957.000000,2618690.872986,-5880218.059673,7275.031413,2769.982886
8958.000000,2625961.990889,-5877439.289077,7271.117902,2778.770596
8959.000000,2633229.185190,-5874651.736661,7267.194301,2787.552416
8960.000000,2640492.445810,-5871855.408325,7263.260620,2796.328336
8961.000000,2647751.762676,-5869050.309977,7259.316867,2805.098348
8962.000000,2655007.125728,-5866236.447538,7255.363052,2813.862439
8963.000000,2662258.524912,-5863413.826937,7251.399184,2822.620601
8964.000000,2669505.950187,-5860582.454114,7247.425274,2831.372823
8965.000000,2676749.391518,-5857742.335018,7243.441331,2840.119096
8966.000000,2683988.838883,-5854893.475608,7239.447365,2848.859409
8967.000000,2691224.282267,-5852035.881856,7235.443384,2857.593753
8968.000000,2698455.711665,-5849169.559738,7231.429399,2866.322117
8969.000000,2705683.117083,-5846294.515246,7227.405418,2875.044492
